I have no internet, network_access
I cannot access the internet, network_access
My wifi does not work, network_access
My wifi is not working, network_access
My wifi is down, network_access
My router is not working, network_access
Is my router broken, network_access
YouTube is not working, network_access
Spotify is not playing music, network_access
I cannot watch a movie, network_access
I cannot login, account_access
I forgot my details, account_access
How do I login, account_access
It won't let me login, account_access
I keep trying to login and cannot, account_access
It fails to login me in, account_access
I cannot access my account, account_access
I have lost my password, password_reset
I cannot remember my password, password_reset
I cannot recall my password, password_reset
I have forgotten my password, password_reset
I forgot my password, password_reset
I forgot what I set my password to, password_reset
Can you reset my password for me, password_reset
Can you reset my account for me, password_reset
The web page does not work, status
The web site is not working, status
Is the system working, status
Is the system offline, status
What is the update on my issue, status
Do you have an update on my issue, status
Where is my support update, status
I already have a ticket open, is it fixed yet, status
Do you have an update for me, status
